Datetime,Temperature,Humidity,Rainfall
2026-05-09 18:00:00,32.23,43,0
2026-05-09 21:00:00,30.49,50,0
2026-05-10 00:00:00,27.94,61,0
2026-05-10 03:00:00,28.15,52,0
2026-05-10 06:00:00,33.19,31,0
2026-05-10 09:00:00,37.46,22,0
2026-05-10 12:00:00,34.53,25,0
2026-05-10 15:00:00,33.95,26,0
